rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,You ordered from the wrong Amazon.,1.891150442477876,0.0166964500708186,2260,848,810,602
1,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,1.8185993111366243,0.0272172213326913,871,374,281,216
2,I think I ordered from the wrong Amazon.,1.8098360655737704,0.0331379093463414,610,273,180,157
3,I don't mind the monkey see as much as the monkey doo.,1.765993265993266,0.031722766199851,594,263,207,124
4,I'll tell you what could be more fun--a barrel of wine.,1.7562380038387717,0.0342627217311528,521,238,172,111
5,Can we have one argument without you bringing up the monkeys?,1.749486652977413,0.036506816045028,487,234,141,112
6,Why can't we just have an elephant in the room like everyone else?,1.7313432835820894,0.0391426425537596,402,192,126,84
7,Should I have gotten a half-barrel?,1.730263157894737,0.034560668306856,456,202,175,79
8,Apparently George was more than curious.,1.7119047619047618,0.0385953856952909,420,209,123,88
9,I feel like you've evolved and your friends haven't.,1.6957671957671958,0.0396479061436432,378,187,119,72
10,Do I complain about your spoon collection?,1.694767441860465,0.0391609943069815,344,159,131,54
11,I miss the elephant in the room.,1.6843434343434345,0.0399416952397176,396,207,107,82
12,we might have ordered from the wrong amazon,1.6793650793650794,0.0436685747922292,315,161,94,60
13,No.... I'm pretty sure you left that off your dating profile.,1.679245283018868,0.0416991047513315,318,155,110,53
14,I guess we both now know it was a banana in my pocket.,1.6763636363636365,0.0497100235875472,275,152,60,63
15,I believe you ordered from the wrong Amazon.,1.6655948553054662,0.0433555057060958,311,160,95,56
16,We can't get a refund without the original barrel.,1.6647058823529413,0.0571659960697983,170,85,57,28
17,You knew I was an uncle when you met me.,1.6524822695035462,0.0434996501190224,282,141,98,43
18,How long will they be observing us in our natural habitat?,1.6507936507936507,0.0465854649775427,252,128,84,40
19,Who can we regift?,1.6464646464646464,0.0415646838042123,297,147,108,42
20,Well...technically they were here before us.,1.6382978723404256,0.047535233847882,235,120,80,35
21,Try not to think about where his hands have been.,1.637037037037037,0.0702262059406526,135,78,28,29
22,Any side effects to your new prescription?,1.6342412451361867,0.0486344842989926,257,142,67,48
23,The zoo said I could work from home today.,1.632,0.0481203310988218,250,135,72,43
24,I found them on ancestry.com.,1.6318181818181818,0.04803685988037,220,111,79,30
25,How in the world could you forget to pick up bananas?!,1.630718954248366,0.0425873833740875,306,162,95,49
26,Kiss our security deposit goodbye.,1.6271186440677967,0.047510402884219,236,123,78,35
27,Still a fan of Airbnb?,1.619047619047619,0.0521848480150714,210,115,60,35
28,Did I complain when you had your sisters for the weekend?,1.6188524590163935,0.0481656497583615,244,133,71,40
29,Now do you know what constant nit-picking feels like?,1.616216216216216,0.0519172235467528,185,95,66,24
30,You said they were both girls!,1.6118721461187215,0.0492941957357527,219,117,70,32
31,I don’t mind the monkey see as much as I mind the monkey doo.,1.608695652173913,0.0539005112696157,184,99,58,27
32,Life was easier when you were a cat person.,1.6064814814814814,0.0494480573671867,216,116,69,31
33,I'm suddenly in the mood for rhesus pieces.,1.6063348416289591,0.0522530491359981,221,127,54,40
34,Good thing it's not the year of the Ox.,1.604878048780488,0.051980186498395,205,113,60,32
35,I was hoping for the other kind of monkey business.,1.6033519553072626,0.0528035160961986,179,94,62,23
36,Just be glad it's not the Year of the Snake.,1.5972850678733033,0.0465065847349474,221,115,80,26
37,Let me know if they bother you.,1.5968586387434556,0.0524826245527618,191,104,60,27
38,Looks like I ordered from the wrong Amazon.,1.5958549222797926,0.0536040976594781,193,108,55,30
39,At least it's not the Year of the Snake.,1.5904255319148937,0.0504453840507619,188,99,67,22
40,Maybe AirBnB was a mistake.,1.5904255319148937,0.0542490721217763,188,106,53,29
41,I liked it better when you were the cat lady.,1.5898876404494382,0.0537615121526736,178,97,57,24
42,You'll always be my prime mate.,1.589622641509434,0.0525009782638852,212,123,53,36
43,No more Airbnb.,1.586021505376344,0.0508925439448347,186,99,65,22
44,Turns out the box was from THE Amazon...,1.5808383233532934,0.0559105496475448,167,93,51,23
45,"Look on the bright side. No one will call you the Crazy Cat Lady.""",1.578125,0.0475249443665311,192,99,75,18
46,I need to go out for b-a-n-a-n-a-s.,1.576470588235294,0.054554450219372,170,94,54,22
47,I had better see no evil on my new carpets.,1.5731707317073171,0.057415126523288,164,94,46,24
48,I'm furious George.,1.5714285714285714,0.0563677108966144,168,96,48,24
49,I said money. I wish we had a barrel of money.,1.5696969696969696,0.0571717258772324,165,95,46,24
50,Let's just agree that the situation is evolving.,1.562874251497006,0.0527334563090837,167,91,58,18
51,Jane regret move to big city?,1.560693641618497,0.0545708540715172,173,99,51,23
52,"The ""monkey see"" part is not what I'm worried about.",1.56,0.0547354835035045,150,81,54,15
53,Are you having fun yet or should I open another barrel?,1.559748427672956,0.0575424821129174,159,92,45,22
54,I ordered the home version of the Republican National Convention.,1.558659217877095,0.0577152936346703,179,110,38,31
55,I'm their uncle.,1.55625,0.0586448610937429,160,95,41,24
56,Just while their barrel is being renovated.,1.5555555555555556,0.0567504353839165,162,94,46,22
57,I'm glad you're not one of those crazy cat ladies.,1.554054054054054,0.0577539586936354,148,84,46,18
58,At least we finally got the elephant out of the room.,1.5535714285714286,0.053903070032221,168,95,53,20
59,I told you not to go on eBay when you're drunk.,1.5517241379310345,0.0674496064719759,116,68,32,16
60,When do you think we should tell them we aren't their biological parents.,1.5514705882352942,0.0597925361496995,136,77,43,16
61,They're not the swinging partners I had in mind.,1.5506329113924051,0.0578773863709718,158,93,43,22
62,Surely you now regret saying Trump will be the nominee when monkeys fly out of my butt.,1.55,0.0625707147124167,160,102,28,30
63,How much fun did you expect?,1.548780487804878,0.0575738198235301,164,98,42,24
64,We'll see who's a moron once I get the typewriters.,1.547945205479452,0.0615361469485818,146,88,36,22
