caption,mean,precision,votes,not_funny,somewhat_funny,funny
"First, let me bring you up to speed.",1.868842902943748,0.013970795069682322,3431,1403,1075,953
You're cold blooded.  You belong in upper management.,1.8158703071672355,0.010731874162498878,5860,2616,1707,1537
"Well for starters, you were 4 days late to the interview.",1.8051539912005028,0.009914408702890738,6364,2731,2142,1491
Tell us something about yourself. Where do you see yourself in half an hour?,1.7951382772591158,0.010725455924900545,5677,2554,1732,1391
"I'll be honest, you're our diversity hire.",1.7842672020441686,0.010738395024284425,5479,2449,1763,1267
It's not actually enough that you identify as a hamster.,1.7801144270913871,0.010153972562425884,6467,3023,1843,1601
You'll be powering Texas.,1.7798975446034269,0.010958440715816541,5661,2684,1539,1438
"Yes,they're all blind but see how they run?",1.7792828685258963,0.011373952233086992,5020,2306,1516,1198
"Look, I’m not gonna give you the run-around. It’s a go-nowhere job, but you can work at your own pace.",1.77868406742795,0.01045557639019157,5517,2409,1920,1188
"I understand you beat a hare, but this is a rat race",1.7772425249169435,0.010388279708081245,6020,2775,1811,1434
You will still get nowhere; it will just take longer.,1.768985095812633,0.010520677695407236,5636,2559,1820,1257
"However, the 130 years of experience on your resume is admirable",1.7654729869592216,0.011069712128033829,4831,2129,1706,996
"Yes, you beat the hare.  But this is a rat race.",1.7624733475479744,0.011569051623258924,4690,2161,1482,1047
Slow and steady meets down the hall. These guys are here for the rat race.,1.7623867874267447,0.01049529688706101,5631,2574,1821,1236
"Sure, you beat the hare...but this is the rat race.",1.7587633885102238,0.012322716119824315,4108,1896,1307,905
We're really looking for someone with more lab experience.,1.7575325732899023,0.011085139563524004,4912,2222,1659,1031
"The job is pointless, exhausting, and will get you absolutely nowhere. When can you start?",1.7567567567567568,0.013312573500018621,3515,1626,1118,771
First spin class?”,1.7536548112590007,0.011524236263669347,4583,2098,1516,969
But I think we may have an opening for you over at the wheels of justice.,1.7532338308457711,0.013101444740810354,4020,2005,1002,1013
"Actually, I think working remotely might be better for you.",1.753208292201382,0.02407734765673363,1013,453,357,203
I should warn you that turnover is fairly high.,1.7492957746478872,0.01555118400000503,2485,1136,836,513
This is the circulation department. You want the mail room.,1.7423352902804958,0.020314740084979604,1533,733,462,338
"In one month, I'll have you getting nowhere faster than ever.",1.7416822429906542,0.015134948595341906,2675,1254,858,563
- just then Steve realized why lying on his resume could be a problem,1.7402656894182318,0.01709319921781164,2183,1053,644,486
You may be in the wrong metaphor.,1.740118922700245,0.01465928314377109,2859,1346,910,603
It's the blind mice - they'll never know.,1.73786078098472,0.014645410427270905,2945,1417,883,645
You must be the temp.,1.7373834779813564,0.013784620116355688,3111,1435,1058,618
"Good, I see you brought your helmet.",1.7368263473053893,0.01351052680987216,3340,1573,1073,694
"These wheels provide power to Google, Facebook and Twitter. You’ll be assigned to the DMV wheel.",1.7357388316151203,0.015027992199035516,2910,1442,795,673
"We don’t usually hire tortoises, but it’s not every day we find an applicant with 189 years of work experience.",1.7356566085847853,0.015993272718589586,2353,1101,773,479
Technically you work from home already.,1.7313480627601665,0.014227455617465684,3123,1519,924,680
You understand we're paid in cheese?,1.7311227839789889,0.013926166433257607,3046,1419,1027,600
So the wheel is out. Tell me about your maze experience.,1.7308641975308643,0.021737850567360485,1215,556,430,229
Now would be a good time to mention if you lied on your résumé.,1.7306098283007696,0.01878841721490227,1689,792,560,337
You sounded a lot…faster over the phone.,1.7300531914893618,0.019600037306673007,1504,692,526,286
For you we’ll need to reinvent the wheel.,1.7285067873303168,0.015041065784168695,2652,1253,866,533
The main thing is just to look busy.,1.7272403982930298,0.014508135923073068,2812,1320,939,553
"To be honest, you were a diversity hire.",1.7243589743589745,0.01528952795875889,2652,1288,807,557
"Don't tell me. You're from the control group, right?",1.7188311688311688,0.01945709530091042,1540,726,521,293
You do understand that there is no finish line?,1.7184841453982986,0.020954528666374546,1293,600,457,236
"To fit in here, you're going to have to come out of your shell.",1.714153988012909,0.0163611837089133,2169,1028,733,408
Your appointment was last Tuesday.,1.7122641509433962,0.016790589855583484,2120,1026,678,416
So now that you outran a hare you think you’re ready for the rat race?,1.7115198451113263,0.016785679980427768,2066,985,692,389
We've had a lot of turnover.,1.7093525179856115,0.016408409060246276,2085,976,739,370
All my clients looked like you when they signed up.,1.7056367432150312,0.017719038949178412,1916,941,598,377
"Welcome to your first day working at the Electric Reliability Council of Texas, I'll show you to your generator.",1.70508658008658,0.018767955666129595,1848,954,485,409
Do you have any experience working in a fast-paced environment?,1.703236423477784,0.017545013681498894,1823,862,640,321
What do you mean what’s the point?,1.7023203169213357,0.018581423865214233,1767,880,533,354
"Trust me, all of their before pictures look just like you.",1.7014409221902018,0.018604727928607363,1735,857,539,339
"It's clean renewable energy! I don't see how even you could oppose that, Senator McConnell.",1.6996336996336996,0.021800239850199955,1365,709,357,299
Looks like you already have a hard body,1.6966767371601208,0.019129735347844252,1655,828,501,326
Our turnover rate is high.,1.6953601953601953,0.018871956506044466,1638,803,531,304
