rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,Do you ever want to wring your own neck?,2.010869565217391,0.0109291249246993,92,0,91,1
1,The answer to number seven? I can’t even turn this thing on.,2.0073260073260077,0.0051707381366155,273,0,271,2
2,"Back to work birds, and enough with the wisequacks!",2.007142857142857,0.0050417030513905,280,0,278,2
3,"Him? He's a pwoblem duck, stwessed out and weady to quack.",2.0069204152249136,0.00488496953463,289,0,287,2
4,I'm only in it for the bread.,2.004975124378109,0.0049875466805381,201,0,200,1
5,"""And the best, they work for birdseed !'",2.004201680672269,0.0042105356466267,238,0,237,1
6,The rats wouldn't perform without a mouse.,2.00418410041841,0.0041928813313598,239,0,238,1
7,The experiment was successful; all the ducks are in a row.,2.003846153846154,0.0038535717003858,260,0,259,1
8,"When I snap my fingers, you will go home, eat breadcrumbs and crap all over the park.",2.00374531835206,0.0037523518199492,267,0,266,1
9,I’m surprised. I really thought they would fly through this training.,2.003731343283582,0.0037383242874094,268,0,267,1
10,A little redundant don't you think? You have all your ducks in a row and online.,2.003731343283582,0.0037383242874094,268,0,267,1
11,"I can't explain this, maybe we will find a reasonable explanation in next week's New Yorker.",2.0034602076124566,0.0034662097116987,289,0,288,1
12,They wanted more accurate data on fly-over states.,2.0029673590504453,0.0029717714826972,337,0,336,1
13,That rebel in the third row? Let’s just eat him.,2.002785515320334,0.0027894029918986,359,0,358,1
14,This might be the reason it always autocorrects to 'ducking',2.0,0.004555820475782,220,0,220,0
15,Its nice that they got us new computers. But these are neither web nor wing friendly.,2.0,0.0377425678048198,27,0,27,0
16,And these are the exchange students from the University of Oregon.,2.0,0.0036968639865026,271,0,271,0
17,We're trying to teach them the hunt and peck method.,2.0,0.0034904067115749,287,0,287,0
18,"They're great tweeters, but hard on the touch screens.",1.997084548104956,0.0029197111404045,343,1,342,0
19,"Okay class, Miss Givens will now walk you through using Google Maps to plan flights south.",1.996815286624204,0.0031897967204133,314,1,313,0
20,Ummm…I suspect the directive wasn’t “quack the code”.,1.9963369963369964,0.0036697309481256,273,1,272,0
21,Haven't you ever seen an IT department before?,1.995744680851064,0.004264402017646,235,1,234,0
22,Shouldn't we be facing south for the winter semester?,1.9945652173913044,0.0054496115110425,184,1,183,0
23,Isn't this experiment supposed to be done with monkeys?,1.9944444444444445,0.0055710522538739,180,1,179,0
24,"Check it out, everyone is migrating to this new operating system!",1.993993993993994,0.0042404868362037,333,2,331,0
25,I think they're all tweeting.,1.993690851735016,0.0044541770017756,317,2,315,0
26,I just googled Snopes and both of these doctors are quacks.,1.9936708860759491,0.0044682499826996,316,2,314,0
27,I'm not sure you are the right fit for a job here at Twitter.,1.993527508090615,0.0045693071023598,309,2,307,0
28,They’ve agreed on Duck Soup instead of Hamlet,1.9929824561403509,0.0049534089619635,285,2,283,0
29,It’s a waste of time. They’re all lame ducks.,1.9928571428571429,0.0050417030513905,280,2,278,0
30,"Well I'm not sure Quacks will replace Tweets, but it's an improvement over the Oink Campaign last month, and I do like their enthusiasm.",1.9924528301886792,0.0053265380618267,265,2,263,0
31,Let’s see if the unflavored keypads hold up any better.,1.9912663755458515,0.0061620471998491,229,2,227,0
32,Don't they know we can't type?,1.988888888888889,0.0078347650693985,180,2,178,0
33,"Don't tell her husband about our time in the bathtub, okay!?!",1.9761904761904765,0.0167341474653302,84,2,82,0
34,"No, dummy. It's 'too be or not too be.'",1.9565217391304348,0.0444554224474387,23,1,22,0
35,I don`t think anyone ever asked them 'why' before.,1.9565217391304348,0.0444554224474387,23,1,22,0
36,"If it weren't double blind, you'ld already know which one is a duck.",1.945945945945946,0.0376873885826161,37,2,35,0
37,"In order to get into med school, one must have all their ducks in a row.",1.4444444444444444,0.1756820922315766,9,5,4,0
38,"By 2347 we should have ""Gone With The Wind 2.""",1.4444444444444444,0.1756820922315766,9,5,4,0
39,....huh! Quit turning to ask me and don't try to duck the question!,1.4,0.1632993161855451,10,6,4,0
40,"Getting them all in a row worked pretty well. Now we're trying columns, too.",1.4,0.1632993161855451,10,6,4,0
41,"If it looks like a Duck and Quacks like a Duck, then what am I missing?",1.4,0.1632993161855451,10,6,4,0
42,On your marks...get set...QUACK!,1.4,0.1632993161855451,10,6,4,0
43,"Now that we've got our ducks in a row our work is done. If they can peck out the complete works of Shakespeare, solving global warming should be a piece of cake.",1.4,0.1632993161855451,10,6,4,0
44,I'm on it sir. Duck no. 8 is pate.,1.4,0.1632993161855451,10,6,4,0
45,"Just my opinion, I think he's a quack.",1.0,0.0540738070435875,19,19,0,0
46,"Sure, I see what the NSA's thinking - humans are fallible, so lets toss out the humans - but don't you think there's something shifty about them?",1.0,0.0540738070435875,19,19,0,0
47,Now that I've gotten them all in neat rows I'll leave it to you to teach them aerodynamics.,1.0,0.0540738070435875,19,19,0,0
48,"""Raise your wing how many of you know how to tweet?",1.0,0.0540738070435875,19,19,0,0
49,Why no bread crumb emoji?,1.0,0.0540738070435875,19,19,0,0
50,At their peck rate they'll produce Shakespeare's Collected Works way faster than the monkeys,1.0,0.0540738070435875,19,19,0,0
51,This surfing formation adds 70% to their laptop battery life.,1.0,0.0540738070435875,19,19,0,0
52,Ten bucks he neither hunts nor pecks.,1.0,0.0540738070435875,19,19,0,0
53,Couldn't we just get robots?,1.0,0.0540738070435875,19,19,0,0
54,"Of course, they're all quacks. It's meduckal school.",1.0,0.0540738070435875,19,19,0,0
