rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,"I know a specialist, but he's in prison.",1.6842105263157894,0.0761148976162842,114,61,28,25
1,When was your last dial movement?,1.6483516483516485,0.083239692991301,91,50,23,18
2,I will need to see the family jewels at some point.,1.627659574468085,0.0855413842927481,94,56,17,21
3,"Well, frankly, I think it's a combination of things...",1.6203703703703705,0.0775150501723234,108,63,23,22
4,I'll leave the room while you get unlocked.,1.614678899082569,0.0712829102428015,109,59,33,17
5,You're lucky someone was on the sidewalk to break your fall.,1.6,0.0765413996382732,100,57,26,17
6,Are you having night deposits? Suspicious withdrawals?,1.5948275862068966,0.0724164702867718,116,68,27,21
7,"Well, the family jewels are fine.",1.59,0.0766666666666666,100,58,25,17
8,Maybe escape artist wasn't the best career choice for you.,1.5666666666666669,0.0774918947877953,90,52,25,13
9,Are you allergic to any explosives?,1.5591397849462365,0.0724615059442702,93,52,30,11
10,Well...it could be a combination of things.,1.5578947368421052,0.0787866972725632,95,58,21,16
11,"In my medical opinion, it's a combination of things.",1.553191489361702,0.0719328553890297,94,53,30,11
12,And now I'm afraid I'm going to have to check the family jewels.,1.5462962962962965,0.0700890242135373,108,64,29,15
13,I'm going to refer you to a locksmith.,1.543859649122807,0.0684065207757575,114,68,30,16
14,I'm referring you to a locksmith for a second opinion.,1.534653465346535,0.0668445165529435,101,57,34,10
15,Let's talk about safe sex.,1.5326086956521738,0.0838785766040431,92,61,13,18
16,"The last time I saw you, you were just a piggy bank.",1.5268817204301075,0.0726693309578801,93,55,27,11
17,And how long have you felt you'd rather be sorry?,1.5263157894736843,0.0817530562669918,95,63,14,18
18,We need to get your numbers down.,1.5247524752475248,0.0725682463437968,101,62,25,14
19,I'd say it's a combination of things,1.5247524752475248,0.0711908040089012,101,61,27,13
20,When was your last fiscal?,1.5227272727272727,0.0774753015002054,88,54,22,12
21,...and have you been having safe sex?,1.5208333333333333,0.0754797037124194,96,60,22,14
22,Have you been engaging in any unsafe behaviors?,1.5192307692307692,0.0735588058265769,104,66,22,16
23,Okay. Time to examine the family jewels.,1.5192307692307692,0.0722785681737396,104,65,24,15
24,You sound like a million bucks.,1.5157894736842106,0.0746220906662001,95,59,23,13
25,"Well, I think we can rule out an iron deficiency.",1.5116279069767442,0.0771308090780325,86,53,22,11
26,Is that to my right or your right?,1.5106382978723405,0.0767455765279093,94,60,20,14
27,Your problem may be a combination of things.,1.5106382978723405,0.0721355787277379,94,57,26,11
28,"Next time, warn your Mommy before you practice your magic act.",1.51,0.0745288229783984,100,64,21,15
29,I'm also going to need a jewel sample.,1.5054945054945057,0.0802523893780463,91,60,16,15
30,Well it's probably a combination of things,1.5048543689320388,0.0688124863156571,103,63,28,12
31,"If you don't open up, I can't help you.",1.5048543689320388,0.0741392467546086,103,67,20,16
32,"When I told you to practice safe sex, I didn't mean it literally",1.5042735042735045,0.0660715386565486,117,73,29,15
33,I'm a bit concerned about the 1250 pounds for your 3' height.,1.5,0.0735832074878308,104,68,20,16
34,"Well, I'd say you have a combination of problems.",1.5,0.0629513912384294,122,75,33,14
35,I'd say you are suffering from a combination of things.,1.5,0.0725476250110011,96,60,24,12
36,The specialist you need is doing 5 to 10.,1.5,0.0667426772242434,118,75,27,16
37,"Let's face it, Mr. Jenkins ... you're no Houdini.",1.4954128440366972,0.0721306404498857,109,72,20,17
38,The chart says you are a dorm room fridge. Tell me what happened.,1.4948453608247425,0.0719806187823141,97,61,24,12
39,I think you might be in need of a cash infusion.,1.4918032786885247,0.0618614532951334,122,75,34,13
40,It could be a combination of things.,1.4915254237288136,0.0667380785624937,118,76,26,16
41,Do you always feel bloated after a large deposit?,1.4895833333333333,0.0694508403487402,96,59,27,10
42,You have a combination of problems.,1.4883720930232558,0.0676843604752557,86,50,30,6
