rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,They only allow one carry-on.,2.75,0.2886751345948128,4,0,1,3
1,I'm a little worried about the revolving door in the lobby.,2.6666666666666665,0.408248290463863,3,0,1,2
2,I want you off the case.,2.6,0.2449489742783181,5,0,2,3
3,I started off where you are. And look at me now!,2.5,0.5,4,1,0,3
4,I'm not sure it's worth it just to be able to ride the express elevator.,2.5,0.2886751345948128,4,0,2,2
5,This looks like it's going to be a long drawn-out case.,2.5,0.5,4,1,0,3
6,Big case today.,2.5,0.5,4,1,0,3
7,Looks like we're all working on the same case.,2.5,0.5,4,1,0,3
8,"Corporations are people too, but their coffins are more compact.",2.333333333333333,0.6666666666666669,3,1,0,2
9,I hope they don't cut out the middle man.,2.333333333333333,0.408248290463863,3,0,2,1
10,Don't blame me for deal falling through... I'm just the middleman.,2.333333333333333,0.6666666666666669,3,1,0,2
11,The partners didn't think I could handle this case by myself,2.25,0.478713553878169,4,1,1,2
12,First it was three to a cubicle,2.25,0.478713553878169,4,1,1,2
13,Are you sure they won't miss him at our next meeting?,2.25,0.478713553878169,4,1,1,2
14,I knew the judge would think our brief was too long.,2.25,0.478713553878169,4,1,1,2
15,You know the judge is going to throw this case out.,2.25,0.478713553878169,4,1,1,2
16,Bet it was hard for her not to ask us what this is.,2.25,0.478713553878169,4,1,1,2
17,Is this your first big case?,2.25,0.2886751345948128,4,0,3,1
18,Just think of yourself as the rudder.,2.25,0.2886751345948128,4,0,3,1
19,"It took only one lawyer and was called a ""briefcase""",2.25,0.478713553878169,4,1,1,2
20,Wait. If you're here... who's in the briefcase?,2.25,0.2886751345948128,4,0,3,1
21,We forgot the myrrh.,2.25,0.478713553878169,4,1,1,2
22,This is so awesome. No one has any clue we're going golfing.,2.2,0.2236067977499789,5,0,4,1
23,"After you've been with the firm about 5 years, you'll start seeing yourself on second handle too.",2.2,0.2236067977499789,5,0,4,1
24,Time to admit this is the worst case scenario.,2.2,0.3741657386773941,5,1,2,2
25,His last wishes were to be buried in paperwork.,2.2,0.2236067977499789,5,0,4,1
26,It is a rather lengthy brief.,2.0,0.408248290463863,4,1,2,1
27,I misunderstood when the partners said they were giving us the same case.,2.0,0.5773502691896257,4,2,0,2
28,This case is anything but brief.,2.0,0.408248290463863,4,1,2,1
29,This is not what I meant when I suggested we have a three-way!,2.0,0.408248290463863,4,1,2,1
30,It's our latest smartphone.,2.0,0.5773502691896257,4,2,0,2
31,I can't believe they're making us all wear the same suit!,2.0,0.5773502691896257,4,2,0,2
32,Threef case.,2.0,0.5773502691896257,3,1,1,1
33,Do we really have to disclose how many people it takes to change these fluorescent bulbs?,2.0,0.408248290463863,4,1,2,1
34,It's a looooong story.,2.0,0.408248290463863,4,1,2,1
35,Seems like the briefs keep getting longer and longer.,2.0,0.2886751345948128,4,0,4,0
36,We’re putting the band back together.,2.0,0.408248290463863,4,1,2,1
37,This case has gone on too long.,2.0,0.408248290463863,4,1,2,1
38,This is the biggest deal I ever worked on,2.0,0.5773502691896257,4,2,0,2
39,"OK, OK, I’m gonna get a thumb drive.",2.0,0.4472135954999579,5,2,1,2
40,There's no way I could have taken this case on my own.,2.0,0.408248290463863,4,1,2,1
41,No- the worst part about downsizing is we only have one pen.,2.0,0.408248290463863,4,1,2,1
42,Remember when we used to get our OWN briefcases?,2.0,0.408248290463863,4,1,2,1
43,You wouldn't know the challenges of middle management.,2.0,0.408248290463863,4,1,2,1
44,You're on the wrong side of the case.,2.0,0.3162277660168379,5,1,3,1
45,I'm feeling redundant,2.0,0.5773502691896257,4,2,0,2
46,"He says 'coming about', you shift to the starboard side.",2.0,0.5773502691896257,4,2,0,2
47,I've never been comfortable with the way we get rid of nosy interns.,2.0,0.5773502691896257,4,2,0,2
48,Don't you hate spread sheets.,2.0,0.5773502691896257,4,2,0,2
49,This is a long held secret.,2.0,0.5773502691896257,4,2,0,2
50,Want to share a cab?,2.0,0.5773502691896257,4,2,0,2
51,Of course I'm worried. People always want to cut out the middleman.,2.0,0.5773502691896257,4,2,0,2
52,I never dreamed I'd be honored with the privilege of helping transport Mr. Trump's ego.,2.0,0.5773502691896257,4,2,0,2
