rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,"Come on, sheriff, it was only a piggy bank.",2.1739130434782608,0.1494677502070279,23,4,11,8
1,PETA is ruining this for everyone.,2.130434782608696,0.1699145079858076,23,6,8,9
2,It was just a piggy bank!,2.08,0.1724335620850342,25,8,7,10
3,"Is it just my imagination, or are they gaining on us?",2.076923076923077,0.1459512766231559,26,6,12,8
4,We could just make a run for it.,2.0434782608695654,0.1471502803872433,23,5,12,6
5,"Sheriff, all this back and forth is getting us nowhere.",2.0384615384615383,0.1615384615384615,26,8,9,9
6,"For goodness sake, it was only a piggy bank!",2.0384615384615383,0.1707969485474963,26,9,7,10
7,"Back off, sheriff, or we walk.",2.0,0.1414213562373095,25,6,13,6
8,"Ride like the wind, Mahogany!",2.0,0.1740776559556978,22,7,8,7
9,They're toying with us.,2.0,0.1568929081105472,26,8,10,8
10,This is absolutely my last low-budget western.,1.96,0.1681269361722465,25,9,8,8
11,"Don't ask me how, but they're gaining on us.",1.96,0.1777638883463117,25,10,6,9
12,They're just toying with us.,1.9583333333333333,0.1532163227136512,24,7,11,6
13,They call me 'The Kid.' What's your excuse?,1.9583333333333333,0.1646160075803407,24,8,9,7
14,"Don't worry, the camera's only shooting from the waist up.",1.947368421052632,0.2090592155756664,19,8,4,7
15,We're losing them ... they're gaining ... we're losing them ... they're gaining ...,1.9230769230769231,0.156136793309111,26,9,10,7
16,I thought you said the sheriff was off his rocker!,1.92,0.1624807680927192,25,9,9,7
17,With any luck we'll lose 'em by nap time.,1.92,0.1518771433319269,25,8,11,6
18,Wild West Reality Camp is disappointing on so many levels.,1.92,0.1818424226264781,25,11,5,9
19,PETA really killed these reenactments.,1.9166666666666667,0.1583047266300976,24,8,10,6
20,"Billy the Kid: ""The Early Years""",1.9166666666666667,0.1797408225335139,24,10,6,8
21,"Ralph, they're gettin' closer...now farther...now closer...now farther...",1.9166666666666667,0.1583047266300976,24,8,10,6
22,They're gaining on us...they're falling back...they're gaining on us...they're falling back...,1.9166666666666667,0.1797408225335139,24,10,6,8
23,I think they're toying with us.,1.9130434782608696,0.1768526270450363,23,9,7,7
24,They're still a day's ride behind us.,1.9130434782608696,0.1768526270450363,23,9,7,7
25,You fellers okay with a half hour nap break?,1.9130434782608696,0.1528780996507013,23,7,11,5
26,This is my last low budget film.,1.9090909090909087,0.1729435874929712,22,8,8,6
27,"Surrender? Sheriff, you must be off your rocker.",1.8888888888888888,0.1445430301306646,27,9,12,6
28,Personally I think the Humane Society's demands are getting unreasonable.,1.8846153846153848,0.1694055041965018,26,11,7,8
29,"Don't worry, we'll lose 'em during nap time.",1.8846153846153848,0.1501478561226395,26,9,11,6
30,"You're right, we should have gone with the pogo sticks.",1.8846153846153848,0.1501478561226395,26,9,11,6
31,We stole them from Billy the Kid.,1.8846153846153848,0.1694055041965018,26,11,7,8
32,"One more low-budget role, and I'm firing my agent.",1.8846153846153848,0.139525824209362,26,8,13,5
33,"Eat our sawdust, Sheriff!",1.88,0.1562049935181331,25,9,10,6
34,"Don't worry, they're carrying toy guns.",1.88,0.1665332799572906,25,10,8,7
35,I reckon they'll be on us by snack time.,1.88,0.1665332799572906,25,10,8,7
36,"They're gaining on us, release the termites.",1.88,0.1562049935181331,25,9,10,6
37,"Sheriff, I feel like we're just going through the motions here.",1.875,0.1735446732780594,24,10,7,7
38,Nope. They're still there.,1.875,0.1627715123029558,24,9,9,6
39,I'd say at least a two hour lead.,1.875,0.1735446732780594,24,10,7,7
40,I'm Billy the Kid. What's your excuse?,1.8695652173913044,0.1811725950413571,23,10,6,7
41,"If you don't stop following us, I'm calling my mom!",1.8636363636363635,0.1514068877274689,22,7,11,4
42,It feels like they're toying with us,1.8636363636363635,0.1650849780577346,22,8,9,5
43,I told you sheriff - I ain't never going back to Time-Out!,1.851851851851852,0.1481481481481481,27,10,11,6
44,I said I hope you get a splinter.,1.851851851851852,0.1481481481481481,27,10,11,6
45,Whatever happens I'm not going back to serve another time-out.,1.8461538461538465,0.1635407048113023,26,11,8,7
46,Quick! Put in another quarter.,1.8461538461538465,0.1726918793895665,26,12,6,8
47,When the West was really young.,1.8461538461538465,0.1726918793895665,26,12,6,8
48,I just hate these low budget Westerns!,1.8461538461538465,0.1323434656468096,26,8,14,4
49,Head for the carousel! It's our only chance!,1.8461538461538465,0.1635407048113023,26,11,8,7
50,Looks like we're going nowhere faster than you're going nowhere!,1.84,0.1700980109623076,25,11,7,7
51,"If ya think yer gonna catch us, yer off yer rocker.",1.84,0.1700980109623076,25,11,7,7
52,We'll lose 'em on the carousel.,1.84,0.1700980109623076,25,11,7,7
53,You're right. We shoulda taken the trikes.,1.84,0.1796292478040997,25,12,5,8
54,This doesn't bode well for the brothel scene.,1.8333333333333333,0.1554174680400522,24,9,10,5
55,Can't we settle our differences like adults?,1.8333333333333333,0.1554174680400522,24,9,10,5
56,"I got a squirt gun, and I ain't afraid to use it!",1.8333333333333333,0.1554174680400522,24,9,10,5
57,"Ain't no horse thief, it's just a hobby.",1.826086956521739,0.1356025043352446,23,7,13,3
58,This is my first low-budget film.,1.826086956521739,0.1621517114368854,23,9,9,5
59,We may never catch you but you'll never get away!,1.826086956521739,0.1739130434782608,23,10,7,6
60,We'll cut 'em off at the sandbox.,1.818181818181818,0.1562044896334953,22,8,10,4
61,Let's dismount and run for it.,1.8148148148148149,0.1604572973256834,27,12,8,7
62,Mom said when we're done we have to go back to Congress.,1.807692307692308,0.1570813681281702,26,11,9,6
63,"I've been outrunnin' you for 12 hours, Sheriff. When you gonna give up?",1.807692307692308,0.1665877525208285,26,12,7,7
64,We need fresh horses. Ride for the lumber yard.,1.807692307692308,0.1469613321118676,26,10,11,5
65,"It takes a while, but there's virtually no carbon footprint.",1.807692307692308,0.1469613321118676,26,10,11,5
66,"We may look ridiculous, but we're still ahead of you.",1.807692307692308,0.1570813681281702,26,11,9,6
67,"Quit toying with us, sheriff!",1.807692307692308,0.1570813681281702,26,11,9,6
68,"Hurry, pretend we're getting away!",1.8,0.1732050807568877,25,12,6,7
69,*No animals were harmed in the making of this cartoon,1.8,0.1732050807568877,25,12,6,7
70,Tell me again why we are holding on to our hats?,1.8,0.1732050807568877,25,12,6,7
71,This year's Jesse James getaway reenactment is sadly underfunded.,1.8,0.1414213562373095,25,9,12,4
72,He's gaining. Now he's not. Now he is. Now he's not...,1.8,0.1527525231651946,25,10,10,5
73,We'll lose them at the day care center!,1.8,0.1414213562373095,25,9,12,4
74,Hope PETA's happy now!,1.8,0.1414213562373095,25,9,12,4
75,I ain't going back to timeout!,1.8,0.1632993161855452,25,11,8,6
76,First fence might be tricky,1.8,0.1154700538379251,25,7,16,2
77,It's all fun and games until someone gets a splinter.,1.8,0.1632993161855452,25,11,8,6
78,You boys up for discussin' the insolubility of this paradox?,1.8,0.1732050807568877,25,12,6,7
79,Whose idea was it to rob the toy store?,1.7916666666666667,0.1590183503523799,24,10,9,5
80,Somehow they're gaining on us!,1.7916666666666667,0.1471857579489101,24,9,11,4
81,We just have to make it to nap time,1.7916666666666667,0.1471857579489101,24,9,11,4
