rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,"Joe, do you understand the gravity of the situation?",2.75,0.2886751345948128,4,0,1,3
1,If I am lying then let God strike me dead!,2.75,0.2886751345948128,4,0,1,3
2,I'm told the coffee here is to die for.,2.75,0.2886751345948128,4,0,1,3
3,You know that artificial sweetener will kill ya.,2.75,0.2886751345948128,4,0,1,3
4,The wife said her lawyer would be dropping something off today...,2.6666666666666665,0.408248290463863,3,0,1,2
5,There is nothing worse than paying five dollars for coffee,2.6666666666666665,0.408248290463863,3,0,1,2
6,In construction it's the overhead that kills you.,2.6666666666666665,0.408248290463863,3,0,1,2
7,How many lumps did you say you wanted again?,2.6,0.4000000000000002,5,1,0,4
8,Good news. I got my cholesterol down below 200.,2.5,0.2886751345948128,4,0,2,2
9,"I mean, what's the worst that could happen?",2.5,0.2886751345948128,4,0,2,2
10,This café is always hit or miss.,2.5,0.5,4,1,0,3
11,I'm being terminated.,2.5,0.2886751345948128,4,0,2,2
12,Roses. Why?,2.5,0.5,4,1,0,3
13,So far the divorce has been surprisingly civil.,2.4,0.3999999999999999,5,1,1,3
14,I'm learning to just live in the moment.,2.4,0.3999999999999999,5,1,1,3
15,Is there time for a cappuccino?,2.333333333333333,0.6666666666666669,3,1,0,2
16,My LDL is a little high.,2.333333333333333,0.408248290463863,3,0,2,1
17,"Tell me, can this day get any worse?",2.333333333333333,0.6666666666666669,3,1,0,2
18,Wait. It'll come to me in a second.,2.25,0.2886751345948128,4,0,3,1
19,I will e-mail your raise and the promotion to HR this afternoon.,2.25,0.2886751345948128,4,0,3,1
20,My friends call me Lucky.,2.25,0.2886751345948128,4,0,3,1
21,"So, what's the BAD news?",2.25,0.2886751345948128,4,0,3,1
22,Let's order dessert first!,2.25,0.478713553878169,4,1,1,2
23,And that's when it hit me!,2.25,0.2886751345948128,4,0,3,1
24,I just scored tickets to 'Hamilton.',2.25,0.478713553878169,4,1,1,2
25,Overhead is killing us.,2.25,0.2886751345948128,4,0,3,1
26,I've been having an affair with the wife of a cartoonist.,2.25,0.478713553878169,4,1,1,2
27,I specifically requested a second lump.,2.25,0.2886751345948128,4,0,3,1
28,"So thanks for the lunch, but I just don't need any more life insurance.",2.25,0.478713553878169,4,1,1,2
29,Remember when flying toaster screensavers were cool?,2.25,0.478713553878169,4,1,1,2
30,I'm convinced the link between caffeine and headaches is inconclusive.,2.25,0.478713553878169,4,1,1,2
31,It's actually been a nice little Monday.,2.25,0.478713553878169,4,1,1,2
32,The divorce was very amicable. Why do you ask?,2.25,0.2886751345948128,4,0,3,1
33,"Duck? No, I ordered roast beef.",2.25,0.478713553878169,4,1,1,2
34,I quit eating pastrami. That stuff will kill you.,2.25,0.2886751345948128,4,0,3,1
35,"Then it struck me, I should be a personal injury lawyer!",2.25,0.478713553878169,4,1,1,2
36,"Yes, that IS my final answer.",2.25,0.478713553878169,4,1,1,2
37,There's really nothing worse than bad coffee.,2.25,0.2886751345948128,4,0,3,1
38,Nothing could make this day worse for me.,2.2,0.3741657386773941,5,1,2,2
39,"I'm telling you, our infrastructure is crumbling. It's a wonder no one gets hurt.",2.2,0.3741657386773941,5,1,2,2
40,Did you know that UPS has started testing Delivery Drones for its deliveries to Construction Sites?,2.2,0.3741657386773941,5,1,2,2
41,I need concrete evidence that she's cheating on me.,2.2,0.4898979485566356,5,2,0,3
42,I'll be brief.,2.2,0.3741657386773941,5,1,2,2
43,"You mean that figuratively, of course.",2.2,0.3741657386773941,5,1,2,2
44,But at least I have my health.,2.2,0.2236067977499789,5,0,4,1
45,"Relax, Chicken Little.",2.0,0.408248290463863,4,1,2,1
46,Carl is completely oblivious to the best selfie moment he will ever have.,2.0,0.5773502691896257,4,2,0,2
47,Nope. Definitely don't want to switch seats.,2.0,0.408248290463863,4,1,2,1
48,"If there is a God, she's a blockhead.",2.0,0.5773502691896257,4,2,0,2
49,"Bill, your problem is that you always act as if the sky is falling.",2.0,0.5773502691896257,3,1,1,1
50,May God drop a cinderblock on my head if I am lying.,2.0,0.5773502691896257,3,1,1,1
51,Whatever. It's just a cartoon.,2.0,0.5773502691896257,3,1,1,1
52,"Yeah, I walk under ladders. So what?",2.0,0.408248290463863,4,1,2,1
53,"Well, I think it's about time for me to go.",2.0,0.3162277660168379,5,1,3,1
54,"Yeah, the stars are lined up on this one.",2.0,0.5773502691896257,3,1,1,1
55,"Yes, I designed this building--but I don't consider it my best work.",2.0,0.408248290463863,4,1,2,1
56,It was the worst thing that ever happened to me.,2.0,0.408248290463863,4,1,2,1
57,"You know you shouldn't eat that junk, right?",2.0,0.408248290463863,4,1,2,1
58,"Finally, I can retire!",2.0,0.408248290463863,4,1,2,1
59,Sometimes diet and exercise just isn't enough.,2.0,0.408248290463863,4,1,2,1
60,Any final thoughts?,2.0,0.4472135954999579,5,2,1,2
61,I'm changing my will tomorrow and leaving everything to you.,2.0,0.5773502691896257,4,2,0,2
62,We've gotta go. I get the feeling it's crunch time.,2.0,0.5773502691896257,4,2,0,2
63,How's your little chicken sandwich?,2.0,0.5773502691896257,4,2,0,2
64,This very well could be the Cubs' year.,2.0,0.3162277660168379,5,1,3,1
65,I dunno. There must be some metaphor for a Trump presidential win.,2.0,0.5773502691896257,4,2,0,2
66,"I was considering how we might cut building costs, and then it hit me!",2.0,0.408248290463863,4,1,2,1
67,The NFL is right. How do you really know if you got a concussion?,2.0,0.408248290463863,4,1,2,1
68,I don't see how today could get any worse.,2.0,0.408248290463863,4,1,2,1
69,I wish there was a way to guarantee that I don't outlive my retirement savings.,2.0,0.408248290463863,4,1,2,1
70,So let me tell you about this horrible day I've had.,2.0,0.408248290463863,4,1,2,1
71,Writer's block? I don't believe in it. Why do you ask?,2.0,0.5773502691896257,3,1,1,1
72,The worst part is not knowing when the other shoe is going to drop.,2.0,0.408248290463863,4,1,2,1
73,I'm only a block away,2.0,0.5773502691896257,4,2,0,2
74,This time I ordered it with crushed ice.,2.0,0.408248290463863,4,1,2,1
75,How many lumps did you ask for?,2.0,0.408248290463863,4,1,2,1
76,"Oh, good, you see it, too.",2.0,0.5773502691896257,4,2,0,2
77,"I'm really feeling groggy today, I hope this coffee gives me a jolt.",2.0,0.408248290463863,4,1,2,1
78,"Did your chair have an X on it, too?",2.0,0.5773502691896257,3,1,1,1
79,I'm sure the other shoe will fall soon enough.,2.0,0.5773502691896257,4,2,0,2
80,So you never suffered from writer's block?,2.0,0.408248290463863,4,1,2,1
81,It'll come to me in a second.,2.0,0.2886751345948128,4,0,4,0
82,"You're right, I need to stop worrying and start living.",2.0,0.2886751345948128,4,0,4,0
83,I've always made sure I'm in the right place at the right time.,2.0,0.408248290463863,4,1,2,1
84,"The doc said to cut out the fat, sweets, and carbs, take a brisk walk four times a week, start a daily Mindfulness practice, and I will live a long and healthy life.",2.0,0.408248290463863,4,1,2,1
85,You might want to reconsider your blasphemy.,2.0,0.5773502691896257,4,2,0,2
86,"Deep down inside, I guess I'm an optimist.",2.0,0.408248290463863,4,1,2,1
87,You ever feel like things just hit you out of the blue?,2.0,0.408248290463863,4,1,2,1
