rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,The operation went well—you’re one tough cookie.,2.029106029106029,0.0158253708819897,2405,690,955,760
1,We ran a few tests and all the toothpicks came back clean,2.009433962264151,0.0113318465847306,4982,1570,1795,1617
2,"In our opinion, you won't make it past the holidays.",2.0057020669992878,0.0206890923818695,1403,417,561,425
3,Have you tried icing it?,1.9981776765375852,0.0119987785104893,4390,1391,1616,1383
4,I'm afraid the confection has spread.,1.987411487018096,0.0127081785629843,3813,1198,1465,1150
5,It's not a ginger fracture. It's worse. It's a ginger snap.,1.9859845830413452,0.0147414422174297,2854,905,1084,865
6,I'm not going to sugarcoat this.,1.9838859047971849,0.0105073401754227,5399,1653,2180,1566
7,"I'm afraid, sir, since you were on the floor for more than five seconds, there's nothing we can do for you.",1.9746664088184105,0.0113396660631181,5171,1786,1730,1655
8,He's only known to us as John Dough.,1.9717090069284064,0.0110716058581501,5196,1730,1883,1583
9,Good news: it's just a yeast infection.,1.9694692343823392,0.0171917132873773,2129,703,788,638
10,The results of your biopsy were delicious.,1.9646508910312592,0.0137690418338774,3423,1173,1198,1052
11,We have good news and bad news: You'll be home for Christmas.,1.962025316455696,0.0128129485088032,3871,1306,1406,1159
12,Eyes still look glazed.,1.9616022099447517,0.0125446985822379,3620,1103,1553,964
13,"You're fine, but they couldn't save the house.",1.9573101624480544,0.0152468030467006,2647,873,1014,760
14,"I’m afraid that IS the way it crumbles, sir.",1.945567232551873,0.0127809382925522,3711,1231,1451,1029
15,Time to meet your baker.,1.9397828232971368,0.011323252245982,5065,1806,1758,1501
16,You’re lucky. They usually bite the head off first.,1.9373003194888176,0.0160729938977975,2504,893,875,736
17,"Your color is good, but your sugar level is high.",1.9372549019607843,0.021701279746164,1275,425,505,345
18,Were you battered as a child?,1.935897435897436,0.015700753983948,2652,957,908,787
19,So the good news is we finally got your temperature down from 350 degrees.,1.935747663551402,0.0150362915719202,2568,833,1067,668
20,Go home. Rest. Put some icing on it.,1.9272108843537412,0.011633849933311,4410,1488,1755,1167
21,Have you tried icing it?,1.92524115755627,0.0157764997320108,2488,870,934,684
22,"I'm here to take a tissue sample...actually, we'd all like samples.",1.919755600814664,0.0157958928574318,2455,858,936,661
23,"Yes, thanks to a generous raisin donor, you can see again.",1.9158094206821876,0.012952911857721,3694,1313,1379,1002
24,Good news. The Pillsbury Dough Boy is a match.,1.9147127784290736,0.0134269121480833,3412,1207,1289,916
25,The fact that you survived the holidays is a good sign,1.9139121854958063,0.0117304809655963,4054,1320,1763,971
26,We'd like to keep you here for further tasting.,1.9055462885738117,0.0112300325410309,4796,1698,1853,1245
27,"Look, there's just no way to sugar-coat this...",1.8968599033816425,0.0120083932471249,4140,1471,1625,1044
28,"You are a lucky man, considering that you had a temperature of 350 degrees for eight to ten minutes.",1.8947987070232148,0.0133792620347494,3403,1234,1293,876
29,It's obviously gingervitis.,1.876435461644465,0.0168297996009256,2177,822,802,553
30,"Unfortunately, all of our wheelchairs are in use. We do have a dessert cart.",1.874770361298224,0.0138441885008819,3266,1252,1171,843
31,I'm afraid he's going to die of consumption.,1.8736583869978531,0.0143198607063771,3261,1322,1029,910
32,"In case the surgery goes south, we're hoping that you consent to donating your body to the nurses break room.",1.871578947368421,0.0179972348910243,1900,722,700,478
33,The procedure will cost you an arm and a leg.,1.8682634730538925,0.0166774428851646,2171,817,823,531
34,Prepare to meet your baker.,1.860209923664122,0.0174691378784007,2096,837,715,544
35,"Sir, you are one tough cookie.",1.858338141950375,0.013120518008217,3466,1314,1329,823
36,It's a miracle that you survived. Your house was totally devoured.,1.8412434082708853,0.0129878679517854,3603,1426,1323,854
37,"We're discharging you. I suggest that you run, run, as fast as you can.",1.8403730115194732,0.0183837897834229,1823,730,654,439
38,"Your cholesterol and sugar levels are a little high, but you color's good and you smell delicious.",1.834643377001456,0.0133048439235274,3435,1375,1253,807
39,"Your sugar is too high, your fats are elevated, and , quite frankly, you’re a day too old.",1.8265232974910397,0.0147461485448323,2790,1130,1014,646
