caption,mean,precision,votes,not_funny,somewhat_funny,funny
I thought partly cloudy with a chance of rage was a typo,1.8288288288288288,0.011581653254284247,4773,2006,1578,1189
Well it looks like my mother found out that you’re not Jewish.,1.822623828647925,0.012164660069772659,4482,1954,1369,1159
"They banned him from Twitter, but he’s still in the Cloud.",1.8117567870765088,0.012061037534876745,4457,1943,1410,1104
That reminds me. Your mother called.,1.802893309222423,0.012009417349629325,4424,1933,1430,1061
A bunny. Seriously. You see a bunny.,1.8003651856360317,0.014057172969142714,3286,1460,1022,804
What do I think? I think we should stop asking the universe for a sign.,1.7816059225512528,0.013116803258031993,3512,1528,1223,761
"He was banned from Facebook and Twitter, so he's trying the Cloud.",1.7725376965030477,0.014370405590285174,3117,1438,950,729
What the hell did you upload to the cloud?!,1.768041237113402,0.01157825087909348,4656,2118,1500,1038
The forecast did say the weather would turn ugly.,1.7670660351072722,0.012435172790444156,3589,1511,1403,675
He hates when someone steals his thunder.,1.7653287367643438,0.01209348193984757,4061,1794,1426,841
"Don’t worry, it’s just a front.",1.7634722590921157,0.012504537907779239,3767,1660,1338,769
It's just a temperature tantrum.  It'll blow over.,1.7630512514898689,0.01187372678299548,4195,1855,1479,861
I guess they weren’t kidding when they said the weather might turn nasty,1.7596731554914684,0.01169540732393677,4161,1804,1553,804
The forecast did call for threatening skies.,1.7594816687737043,0.01323861938251536,3164,1349,1227,588
He looks cirrius!,1.7533333333333334,0.01605433435599553,2400,1111,770,519
Is it just me or is climate change starting to feel more personal?,1.7501945525291829,0.014939802704831983,2570,1138,936,496
Don't ask me.  I really don't know clouds at all.,1.7452054794520548,0.014638392401524538,2920,1380,904,636
I finally get a date with you and it turns out to be Judgment Day.,1.744970798182998,0.014091477133903747,3082,1436,996,650
Clouds used to look like animals… now they look like any Republican in office.,1.7442788717402873,0.013052127466063186,3758,1806,1107,845
I see your father learned how to access the cloud.,1.7427502338634238,0.016923214054919287,2138,1000,688,450
"Shakespeare in the Park, you said. An immersive production of The Tempest, you said.",1.7370266479663394,0.014257153961262215,2852,1300,1002,550
"Really Jennifer, everything reminds you of your ex.",1.7358490566037736,0.014632534024359984,2756,1273,938,545
I'm getting the distinct impression that the climate wants US to change.,1.7304534094966084,0.014387639573991464,2801,1291,974,536
I wonder what precipitated that.,1.7281405116456663,0.014920615401321414,2619,1216,899,504
It’s my fault.  I promised if he went away he could come again another day.,1.7278860569715142,0.015044181545019273,2668,1267,860,541
He’s been mad ever since I stole his thunder,1.7224761113419194,0.015473620466504816,2407,1120,835,452
"The weather’s not bad, it’s just misunderstood.",1.7180062864840593,0.016311148970581113,2227,1062,731,434
Nimbus?! You can't be cirrus.,1.7166666666666666,0.016891591218002783,2160,1058,656,446
it's an affront coming in.,1.715186802523047,0.01726682364306818,2061,1010,628,423
Don't worry - it's just a front.,1.7144992526158445,0.016554990189523795,2007,920,740,347
Don't be fooled by the angry face. It's just a front.,1.7135161606268365,0.01676503744206506,2042,962,703,377
That reminds me.  How’s your mother doing?,1.7104025091479351,0.01772821286387434,1913,932,603,378
Let's be like the Republicans and just pretend it isn't happening.,1.7102229054573406,0.021934930019135518,1301,650,378,273
"Sweetheart, did you know you can store anger and resentment in the cloud now?",1.7087533156498673,0.017941016434510897,1885,926,582,377
"This reminds me, your dad called.",1.7031431897555296,0.018214051072549718,1718,820,588,310
I'm not seeing the silver lining in this one.,1.7012858555885262,0.023161683491667116,1011,470,373,168
"you know, I really don’t know clouds at all.",1.6971649484536082,0.019439701330399666,1552,761,500,291
I may have put the wrong mushrooms in our Sandwich..,1.6960698689956333,0.0230547985973791,1145,575,343,227
"Well, the weather report did say the skies were threatening.",1.69377990430622,0.019421854719118236,1463,696,519,248
"Uh-oh, looks like Trump has found a new cloud-based social platform.",1.6929824561403508,0.02051027281479959,1482,759,419,304
That's just a front,1.6927792915531334,0.01963708183704292,1468,710,499,259
"Oh, that reminds me. When are we going to tell your mother we're engaged?",1.6906614785992218,0.02371244132442107,1028,505,336,187
"It's an illusion, Joni! You really don't know clouds at all, do you?",1.6906116642958748,0.020990975841772248,1406,720,401,285
I’ve had worse signs on a first date…,1.6898355754857997,0.020176970421035525,1338,636,481,221
Wait until he claps.,1.6897784131522515,0.019574195468498624,1399,659,515,225
I think you should tell me what you see first.,1.6883686905632773,0.02013764210341942,1367,658,477,232
"So your ex, Zeus... Was that a nickname?",1.68735976065819,0.021074354345173494,1337,671,413,253
"Even though he's not our President anymore, I keep seeing his face everywhere.",1.6853582554517135,0.021434780137921963,1284,644,400,240
They did predict threatening weather.,1.6842948717948718,0.02086652270912622,1248,598,446,204
"That's the difference between us, Irma. You see a dark cloud looming overhead, while I see the possibility of being put out of my misery.",1.6832937450514647,0.021855037353789096,1263,644,375,244
And to think that just a couple minutes ago it looked like a bunny.,1.6828685258964144,0.021296687848451467,1255,619,415,221
The forecast looks grim,1.6792929292929293,0.02070981023311462,1188,554,461,173
Every night I write down all my negative thoughts and upload them to the cloud so I can sleep better.  Why do you ask?”,1.678721614802355,0.021799674425249896,1189,588,395,206
I thought he was in Mar-a-Lago.,1.6777583187390543,0.023001942280603184,1142,588,334,220
So much for the friendly skies,1.676131322094055,0.02175852478604367,1127,542,408,177
I see Rudy Giuliani.,1.6739327883742052,0.022950943922983663,1101,557,346,198
Remember when they all looked like bunny rabbits and puppy dogs?,1.6738934056007226,0.021938545236099994,1107,534,400,173
Really? I see a puppy.,1.6737327188940092,0.023190025669107123,1085,551,337,197
"Oh, for crying out loud.  Just when they said small, outdoor gatherings are safe, someone has gone and uploaded the GOP to the cloud.",1.673450508788159,0.023843519132037524,1081,566,302,213
"The forecast didn’t say anything about angry recrimination, only a chance of silent disappointment with passing waves of resentment.",1.6725912067352666,0.023179275502317527,1069,539,341,189
Cirrusly?,1.6719184430027803,0.023196272011296978,1079,548,337,194
"Reminds me, we're invited to my mother's house for dinner.",1.6705882352941177,0.023730595201678657,1020,516,324,180
Don't worry. It's a front,1.6702439024390243,0.02323294760148657,1025,508,347,170
We've got to be more careful about what we upload to the cloud.,1.6676470588235295,0.022968612328223566,1020,500,359,161
Looks like someone needs his climate changed,1.6648706896551724,0.025531738248021574,928,488,263,177
Climate change is really getting ugly.,1.6618625277161863,0.0244004490200081,902,446,315,141
"We’ve done climate change denial and guilt, next is anger.",1.6577480490523968,0.025039998537136236,897,458,288,151
"... altocumulus, stratus and, uh-oh, these ones look cirrius.",1.6576879910213242,0.025125188448910256,891,455,286,150
I think the weather’s turning on us.,1.6575342465753424,0.023774881194836173,876,418,340,118
"Well, the forecast was for threatening weather.",1.6546091015169195,0.02519740420094296,857,432,289,136
Is that what they mean by 'threat of rain'?,1.6537102473498233,0.02528233611947369,849,428,287,134
Please tell me you see it too.,1.6518607442977191,0.025340499554742563,833,418,287,128
"You know that piece I wrote debunking ""Climate Change""?  Maybe I shouldn't have uploaded it to the cloud....",1.6508515815085159,0.026524384108334482,822,431,247,144
I don't think there is a silver lining in this one.,1.6503067484662577,0.02596728886336495,815,416,268,131
"It’s not the heat that gets you, it’s the hostility",1.6472819216182049,0.02685281286488824,791,414,242,135
"Not to worry, the weather report said to expect only a threat of rain.",1.6464516129032258,0.025338509820280495,775,378,293,104
Did you exceed the storage limit?,1.6459143968871595,0.02729624573075898,771,406,232,133
"Honey, where did you get the mushrooms for our salad?",1.6453715775749673,0.027599701223890796,767,408,223,136
Did you steal his thunder too?,1.6436314363143631,0.027296880511586696,738,381,239,118
"So, what did you put in those brownies?",1.6434426229508197,0.026995031777933266,732,372,249,111
I think he's cirrius.,1.6432584269662922,0.0289879588754566,712,385,196,131
It's getting cloudy with a chance of apocalypse,1.6399416909620992,0.0276041230559167,686,347,239,100
Oh great. Now we have to worry about Mad Clouds disease.,1.639777468706537,0.02851307396002833,719,386,206,127
I'm sensing an air of hostility.,1.6395027624309393,0.02725751418542881,724,372,241,111
That reminds me. Have you told your dad that we’re moving in together?,1.639344262295082,0.026816117613400924,732,372,252,108
