rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,That won't fly in here.,2.4,0.2449489742783177,5,0,3,2
1,"Sorry, that mat won't fly here.",2.4,0.3999999999999999,5,1,1,3
2,"Sorry, sir. We don't allow...hats.",2.25,0.478713553878169,4,1,1,2
3,We try to leave our rugged individualism at the door.,2.25,0.2886751345948128,4,0,3,1
4,I don't care whether or not it ties the room together.,2.25,0.2886751345948128,4,0,3,1
5,Our fees are based on square footage.,2.25,0.478713553878169,4,1,1,2
6,We get it. You're straight.,2.2,0.3741657386773941,5,1,2,2
7,You must be the guy from Om Depot.,2.2,0.4898979485566356,5,2,0,3
8,"So first we breath slowly. And we are mindful. Then, we talk about your mat.",2.2,0.3741657386773941,5,1,2,2
9,The Dude lives downstairs.,2.1666666666666665,0.4013864859597431,6,2,1,3
10,"Namaste. And, I suppose, Boo-yah!'",2.0,0.4472135954999579,5,2,1,2
11,"First, I must thank you for leaving the recliner and TV at home this week.",2.0,0.4472135954999579,5,2,1,2
12,"Hey ladies, I think I figured out who left the seat up.",2.0,0.4472135954999579,5,2,1,2
13,"Size doesn't matter here, either.",2.0,0.4472135954999579,5,2,1,2
14,"Unless you can make it fly, it's still a no.",2.0,0.3162277660168379,5,1,3,1
15,"We meditate, not levitate.",2.0,0.408248290463863,4,1,2,1
16,"Sir, your wife wasn't finished meditating.",2.0,0.408248290463863,4,1,2,1
17,"Sir, please put that back in the lobby and use this one.",2.0,0.5773502691896257,4,2,0,2
18,"Namaste, carpet diem",2.0,0.3162277660168379,5,1,3,1
19,The body is in the office. Maybe use the back door on your way out.,2.0,0.3162277660168379,5,1,3,1
20,"No, broga is on Thursdays.",2.0,0.4472135954999579,5,2,1,2
21,No problem—we're very flexible.,2.0,0.7071067811865476,2,0,2,0
22,The Magic Carpet class is down the hall.,2.0,0.5773502691896257,3,1,1,1
23,"What do you mean, 'Make Yoga Great Again'?",2.0,0.5773502691896257,4,2,0,2
24,"No, no, no. Not “namaste”. I said you and the rug must not stay.",2.0,0.4472135954999579,5,2,1,2
25,Your downward dog made a mess on the carpet.,2.0,0.4472135954999579,5,2,1,2
26,I know it's you first yoga experience but you don't need a training mat.,2.0,0.4472135954999579,5,2,1,2
27,Let me explain how many different ways you're not going to meet any girls here.,2.0,0.4472135954999579,5,2,1,2
28,"I told you to bring your own, that's from our lobby.",2.0,0.3162277660168379,5,1,3,1
29,We don’t shag here.,2.0,0.4472135954999579,5,2,1,2
30,Our position on this is inflexible.,2.0,0.3162277660168379,5,1,3,1
31,"Actually, nobody says that about the size of a man's yoga mat.",2.0,0.4472135954999579,5,2,1,2
32,"Sorry, we're not that flexible.",2.0,0.4472135954999579,5,2,1,2
33,I take that you aren't here for the yoga class,2.0,0.5773502691896257,4,2,0,2
34,You must be our lucky 'free trial' winner.,1.8333333333333333,0.3073181485764295,6,2,3,1
35,"So, I understand you were home schooled.",1.8,0.3741657386773941,5,2,2,1
36,That's just so people won't know you weren't on your way to yoga?,1.8,0.3741657386773941,5,2,2,1
37,I take it you roll your own?,1.8,0.3741657386773941,5,2,2,1
38,"""No.....one mat with 8 people does not get you a group discount"".",1.8,0.3741657386773941,5,2,2,1
