caption,mean,precision,votes,not_funny,somewhat_funny,funny
'Yes Robert I bought a chair. I was sick of my options being between a rock and a hard place.',1.9377622377622377,0.02141866677663646,1430,516,487,427
Do you want to go clubbing later?,1.9181208053691274,0.016994355841732773,2235,820,778,637
"Yes, the mammoth is free range.",1.911787072243346,0.015295145842411382,2630,935,992,703
The restroom is just down the hall and anywhere you want.,1.8982131461391194,0.014323764609978612,3134,1183,1087,864
"Sorry John, but there’s too much history between us.",1.894948143191703,0.014810355539131563,2989,1153,997,839
"Sorry, I’m the hunter. For your vegan requests, I’ll send over the gatherer.”",1.8853188334157192,0.01732221702861006,2023,743,769,511
"There’s meat, or we have a new dish called ‘cooked meat’.",1.8804611650485437,0.013647907758977703,3296,1235,1223,838
You knew I was a Neanderthal when you married me.,1.878474114441417,0.012822191242948457,3670,1357,1402,911
"Myles, the pandemic is ending.  You should try to find your pants.",1.8731012658227848,0.014365714499108088,3160,1256,1049,855
You look nothing like your drawing.,1.87006237006237,0.017518800827128332,1924,709,756,459
So what am I then? Ancient history?,1.8658154661527342,0.012028076736782455,4151,1562,1584,1005
"Kevin, at some point you're going to have to shave and go back into the office",1.8654255319148936,0.012817170687605324,3760,1448,1370,942
Welcome to the first Hard Rock Cafe,1.8612473721093203,0.014880807263384642,2854,1127,996,731
Would you like the “hunt” or “gather” menu?,1.861146095717884,0.013492625979084232,3176,1169,1279,728
I just can’t get past the difference in our ages.,1.8604444444444443,0.013558234085043168,3375,1315,1216,844
It just feels like I am the only one evolving in this relationship.,1.859073359073359,0.019312704148233967,1554,575,623,356
Do you want to go out tonight or do you want me to kill something on the way home from work?,1.8474374255065553,0.015335963884650871,2517,966,969,582
I feel as though only one of us in this relationship has evolved.,1.8470319634703196,0.016491234724676916,2190,845,835,510
"Well, pretty much everything on the menu is paleo.",1.845078979343864,0.019289617381002832,1646,651,599,396
"If you're so civilized, why don't you use a coaster?",1.8447251114413077,0.02190348033830701,1346,555,445,346
"Of course everything's locally sourced.  Where else is there?""",1.844633627242323,0.013406224062678683,3289,1267,1266,756
Early evidence that women develop faster than men.,1.8293736501079914,0.01665306392753463,2315,974,762,579
Welcome to Dino’s Cafe. I’m Paul. I’ll be hunting and gathering for you this evening.,1.8266129032258065,0.01559627585072667,2480,1000,910,570
Your entree is still on the run.,1.8258451005562688,0.01617396192668801,2337,953,838,546
"No, men stayed pretty much the same.",1.82441200324412,0.01615769533426088,2466,1048,803,615
"It's not you, it's me. I've evolved.",1.8228882833787465,0.016521488332892645,2202,891,810,501
You're probably wondering why I dragged you here.,1.8205242114615727,0.016893856731586856,2251,961,733,557
"Hi, my name's Frugg. And I'll be hunting and gathering for you tonight.",1.819047619047619,0.016794881962488288,2205,921,762,522
"So, this is what $90,000 ACTUALLY gets you in Brooklyn.",1.8126027397260274,0.018553738414139646,1825,776,615,434
All of our drinks are on the rocks ...,1.8119877049180328,0.017497686793407997,1952,801,717,434
The hardest part was finding a good electrician to wire the ceiling light.,1.8096846846846846,0.018660183717159575,1776,750,614,412
I'm so sorry for the delay. We're still trying to invent fire.,1.8080918534718426,0.018102520120615632,1829,757,666,406
Hi. I’m Thog and I’ll be your hunter and gatherer tonight/,1.8059530623926732,0.017898934401157904,1747,693,701,353
‘One clubbed sandwich please.’,1.802731411229135,0.02163800684151554,1318,562,454,302
"You're taking this paleo diet way too literally, John.",1.8022700119474313,0.018587086484252675,1674,682,641,351
They gave the promotion to the wheel guy.,1.8012129380053907,0.020113829386058615,1484,622,535,327
Normally I meet women by clubbing.,1.7949932341001353,0.020848694080387108,1478,665,456,357
What exactly about the term “man cave” didn’t you understand?,1.7923664122137404,0.021225133218439534,1310,567,461,282
"Yes,the wooly mammoth is free-range.",1.7903930131004366,0.020767570455097858,1374,581,500,293
