caption,mean,precision,votes,not_funny,somewhat_funny,funny
"Sign the treaty, I’m out of quarters.",1.8090032154340836,0.014078918165757268,3110,1312,1080,718
"You have a choice. Stay here and face the  harsh Russian winter with your entire army stranded and in disarray, or come home for lunch.",1.808502489467637,0.015400355515659513,2611,1106,899,606
"You know he lost, right?",1.775570583262891,0.016063300510076015,2366,1047,803,516
Does somebody need to be put in exile?,1.7417078334509528,0.014374436802490315,2834,1290,986,558
No.  No quarter will be given,1.7406815761448349,0.018239618101953587,1878,893,579,406
Let's go. Mommy doesn't have enough quarters to invade Russia.,1.7402856193955496,0.014158827405986948,3011,1401,991,619
I will give you no quarter.,1.7394587791063563,0.013891182788878572,3178,1496,1014,668
"'Cause je suis la maman, that's why.",1.7319636884854277,0.01673753989610917,2093,969,716,408
C'mon. We have to pick up Josephine from daycare,1.7310374891020053,0.015919319781110525,2294,1058,795,441
"Get over it, Donald. You lost the school election.",1.7309941520467835,0.01596556576046812,2565,1276,703,586
You'll be happy to know that we're having Beef Wellington for dinner.,1.7299806576402321,0.015171718509982236,2585,1212,859,514
He ended up on a lonely island with no TV or iphone.,1.7195767195767195,0.02821997234806579,756,363,242,151
"If Napoleon listens to his mother he’ll avoid another a long, hungry march home.",1.7177739920499715,0.017679345630647464,1761,803,652,306
Just stay out of Belgium until I finish shopping.,1.7072407045009785,0.014839692787456253,2555,1202,899,454
You know how it ended for him don't you?,1.706070287539936,0.030581872845331873,626,302,206,118
"Well, at least you fit the height requirement.",1.7015209125475286,0.01645835797023737,2104,1007,718,379
"Your supply line, with the ice cream, is going this way.",1.6975806451612903,0.016936665145918774,1984,955,674,355
"Let’s go before you fall off 
and break a Bonaparte",1.697032436162871,0.014634259058893947,2898,1471,834,593
"When I was a kid, conquering all of Europe and crowning yourself Emperor only cost 10¢.",1.6947087933003426,0.014573524778740765,2627,1256,917,454
"The British may be coming, but I'm leaving.",1.6914089347079038,0.013973429027765164,2910,1414,980,516
You can't invade Russia today. Soccer practice at 2:30.,1.6878288319887758,0.013901189878864524,2851,1369,1003,479
If you don't get in the car you're going to have bigger problems than Waterloo.,1.6858032932799287,0.015789358309223046,2247,1093,767,387
Now you know why its called a quarter horse!,1.6819787985865724,0.014398448331199762,2830,1423,884,523
"You've conquered Austria and Prussia, that's all we have time for.",1.6814545454545455,0.013863479443472939,2750,1304,1018,428
The Russian invasion will have to wait; I'm out of quarters.,1.6777065527065527,0.013644050436388961,2808,1332,1049,427
We have to go. You can invade Russia tomorrow.,1.6754482253933407,0.013940934477313628,2733,1313,994,426
No more quarters? Then you've met your Waterloo.,1.674271844660194,0.016540509745049344,2060,1025,681,354
Why can't you pretend to be an American fascist like other boys your age?,1.6740681998413958,0.015247217756918138,2522,1284,776,462
Get off before you develop a complex.,1.6735479356193141,0.014130695711344055,2858,1434,923,501
"I'm all out of quarters,you can try to cross the Alps next week when you get your allowance.",1.6716036772216547,0.016489177760526236,1958,948,705,305
"I don't 
have enough change for
you to  conquer the world.""",1.6711409395973154,0.013957735289228244,2831,1399,964,468
First you need to learn how to cross the street by yourself.,1.666540068363084,0.014360894828191386,2633,1300,911,422
Your revolution is out of funding.,1.6635514018691588,0.015422916604812835,2354,1188,770,396
"I know, but you’ll serve your country even better after your nap.",1.6586447118429386,0.01854591451143134,1579,790,538,251
"Your choice, kiddo, Waterloo or an ice cream cone?",1.6546875,0.02834980955197779,640,313,235,92
"No Jeremy, I said I'll meet you in the ""eggs aisle""",1.6520640269587195,0.015426278673894078,2374,1227,746,401
Now now don’t get short with me,1.6515966989594546,0.01435806733170997,2787,1455,848,484
Just be sure and take that off before we get to the therapist's office.,1.65,0.04464400920172479,280,144,90,46
"OK, one more ... but I'm not paying for a land war in Asia.",1.643351548269581,0.01431654031565335,2745,1436,852,457
No more binge-watching the History channel.,1.6350180505415162,0.01382503068835717,2770,1423,935,412
"Sometimes, heroes carry groceries.",1.6348107109879964,0.015246916414815962,2166,1085,787,294
"Careful, you don't want to break a bone apart",1.633626679018064,0.01630866582242645,2159,1160,630,369
Now let’ s conquer the mess in your room.,1.6279802069275753,0.015359762465128754,2223,1150,750,323
"Don’t call me Josephine, I’m your mother>",1.6273219814241486,0.014607082196947384,2584,1373,801,410
"If  Waterloo means anything to you, you better get into the car right now.",1.6260253542132737,0.014170699229933928,2682,1411,863,408
"We can't wait for you to conquer Europe, you have a violin lesson and I have a yoga class.",1.6249149081007488,0.01865312858648831,1469,754,512,203
"- Come on, Donald! It’s time to go.",1.6209870627695255,0.016885061274883584,2087,1166,546,375
I’ll pick you up after Waterloo.,1.6182531894013739,0.016240883455278344,2038,1085,646,307
That’s your last ride. It’s nearly winter.,1.6051560379918588,0.02647137596594776,737,393,242,102
Time to get off your high horse.,1.600577478344562,0.01602591279519107,2078,1135,638,305
No matter how much you thirst for global domination you still have to go back to school.,1.5920138888888888,0.029134208849192805,576,306,199,71
"Donald, it's time to go home.",1.5895170789163722,0.018618719476048515,1698,991,413,294
"Let's go Napoleon, Waterloo is this way.",1.5889646621202729,0.017611569458680892,1613,871,534,208
"Come on, Leon.  We need to seize the parking lot.",1.5846994535519126,0.018442068283782833,1830,1107,376,347
Moscow is the other direction!,1.5825747724317296,0.017954201289878874,1538,836,508,194
I’m going to count to trois.,1.57960981749528,0.018940006476530928,1589,927,403,259
"If we leave now, I’ll get you a treaty.",1.574310692669805,0.01911686946689986,1487,855,410,222
"Remember, like all conquerors, your time is limited.",1.5622202327663384,0.021587463129536955,1117,642,322,153
Do you even know how to pillage?,1.5605658709106984,0.020793873734544065,1131,634,360,137
Why can't you have gender confusion like the rest of your friends?,1.5482456140350878,0.024331659783703732,912,545,234,133
The 23andMe results really got to your head.,1.5444685466377441,0.022310480533959565,922,517,308,97
"If you’re done conquering Europe, I could use some help with these bags.",1.5408479834539814,0.023092576142145972,967,573,265,129
And I'm Marie Antoinette. Now get into the car.,1.5398138572905895,0.02413705711834302,967,597,218,152
Look both ways before you cross the Alps.,1.5390374331550802,0.02450310350603615,935,577,212,146
"Get to the car now, or you're history.",1.5352112676056338,0.023836052606165833,852,496,256,100
"Let's go, Winter is coming!",1.5300480769230769,0.024624858185397194,832,497,229,106
I will give no quarters.,1.5283236994219653,0.025118965215837483,865,536,201,128
Not until you've conquered your homework.,1.5211097708082026,0.02505451649915729,829,509,208,112
Napoleon wouldn't have had fifty cents either. He was always a little short.,1.5169811320754718,0.02629714694507108,795,503,173,119
There will be no quarter given to you either.,1.5149700598802396,0.027739659018413826,668,412,168,88
And I say it's time to put the Nap in Napoleon.,1.5130674002751032,0.026677321696022247,727,451,179,97
I bet Mrs. Bonaparte didn't have to ask her son for help with the groceries.,1.5098039215686274,0.026818367267300382,612,358,196,58
"Sorry, but I give no quarter.",1.5045731707317074,0.028046389830364407,656,412,157,87
"It's nap time, Napoleon.""",1.5044910179640718,0.027337713179296785,668,414,171,83
"Just come off it, Donald.",1.5023255813953489,0.028996344272906205,645,415,136,94
I didn’t bring enough quarters for you to cross the Alps.,1.499219968798752,0.027411466211718194,641,395,172,74
"The Alps may await, but so does your bath.",1.4992175273865416,0.028440116824723697,639,405,149,85
"Sorry, I do not have enough quarters to get you over the Alps.",1.4991423670668953,0.029222383185455718,583,364,147,72
"If you don't come now, your room will be Elba for a week.",1.4972375690607735,0.02901373510797143,543,329,158,56
You'd better retreat. I'm out of quarters.,1.4939759036144578,0.027127860971005845,664,415,170,79
You can conqueror Europe on your own time. Mommy’s got ice cream melting.,1.491349480968858,0.028371698511321958,578,356,160,62
You cross the Alps while Mommy stops in Boucherie and conquers a Bourbon.,1.490299823633157,0.029310012165654317,567,356,144,67
"Get in the car little man, or Whole Foods will be your Waterloo.",1.4892086330935252,0.029301239141040946,556,347,146,63
"Fine, go ahead and conquer. But your supply line is heading home.",1.4882882882882882,0.030320856247620775,555,356,127,72
Look both ways before crossing the Alps.,1.4876325088339222,0.029979272343758218,566,363,130,73
Let’s go home and eat cake.,1.4871794871794872,0.028327797872143123,585,364,157,64
Making you get off your little horse and get in the car is not going to give you a complex.,1.4864341085271318,0.029731560269740158,516,318,145,53
"No. L'état, c'est Mom.",1.485655737704918,0.0324271201205879,488,315,109,64
"No more quarters!
And stop calling me Josephine.",1.4856046065259116,0.029272267129037098,521,319,151,51
"The British may be coming, but your ride is leaving.",1.4827586206896552,0.03100047426502537,493,310,128,55
"Because mommy is the Empress and the Empress rules, that's why.”",1.481818181818182,0.03030551405618417,550,355,125,70
"He didn’t win, you know.",1.4813614262560777,0.028376124215304593,617,396,145,76
Can you get off the horse? Of CORSICAN !,1.4807339449541284,0.030180230026922186,545,350,128,67
I give you no quarter. Let’s go.,1.4791288566243195,0.029150089327614166,551,347,144,60
"Liberty, equality, and get in the car right now.",1.4785992217898833,0.031052938307181317,514,331,120,63
I’m taking you out of Military School.,1.4779874213836477,0.031480875500518764,477,302,122,53
Try conquering the mess in your bedroom first.,1.477859778597786,0.027960281603462513,542,330,165,47
"Actually, I outrank you. Let’s go.",1.4751491053677932,0.031049853191202705,503,323,121,59
"For the last time, your hipster father thought it was a unique name. It means nothing about your past life.",1.4730021598272138,0.02944137257387607,463,279,149,35
I give no quarter.,1.4725050916496945,0.030127734130600967,491,307,136,48
You can cross the Alps after lunch.,1.4702258726899384,0.03099092655345793,487,311,123,53
You and what army?,1.4691629955947136,0.03248786389223957,454,293,109,52
"come on now, were late for your therapist.",1.4672897196261683,0.03329061246311964,428,276,104,48
Napoleon at least acted like he was a big boy.,1.4645669291338583,0.03215884664435683,508,342,96,70
"C'mon, I think we've both charged enough.",1.4617224880382775,0.03369403930993611,418,272,99,47
I buy him one baguette and the kid thinks he’s Napoleon,1.4616977225672878,0.030462911928288632,483,308,127,48
"Honestly Billy, the doctor said you were 
normal height for your age!",1.4601769911504425,0.03165620303561322,452,290,116,46
I give you no quarter.,1.4596412556053813,0.031003565183186674,446,281,125,40
"Let's go, Donald!",1.459605026929982,0.029654568613117584,557,368,122,67
Napoleon's greatest tactical blunder was not listening to his mother.,1.4585253456221199,0.03243943103321905,434,280,109,45
"Yes, dear. Remember to invade the restroom before we leave.",1.4572748267898383,0.03314189835036604,433,284,100,49
Napoleon didn't listen to his Mother and look how that turned out,1.4564755838641188,0.03144282669450679,471,307,113,51
Napoleon Crossing his Mother,1.4540816326530612,0.03438079289764648,392,256,94,42
"Young man, when we get home you go straight into exile.",1.4534005037783375,0.03406082603949448,397,259,96,42
"I'm your Waterloo, young man.",1.4531590413943356,0.032330942354914474,459,304,102,53
"If I wanted to deal with a Napoleon complex, I wouldn’t have divorced your father.",1.4527363184079602,0.03429542844916723,402,265,92,45
You can't invade Poland if I'm out of quarters.,1.451834862385321,0.03343245823256135,436,291,93,52
Let’s go Napoleon…Elba is waiting.,1.4506024096385541,0.03296790697615127,415,270,103,42
"Nice try, but the ice cream you want is actually Neapolitan.",1.4494117647058824,0.03324499185712542,425,281,97,47
They didn’t have 'flaky puff pastry layered with rich vanilla cream.' I got Oreos.,1.4492099322799097,0.033793246538623145,443,301,85,57
Let’s pretend Russia is in this direction.,1.4491315136476426,0.031593600607704386,403,253,119,31
Call me Josephine once more and you're walking home.,1.4478371501272265,0.03541135260765555,393,265,80,48
I don't care what 23 and Me found. Get in the car.,1.4474327628361858,0.03436951424972196,409,274,87,48
Sometimes I wish you inherited your father's inferiority complex.,1.4473684210526316,0.03455304800015343,380,249,92,39
No more History Channel for you.,1.446524064171123,0.03348655522049419,374,239,103,32
I’m not waiting for them to finish your portrait.,1.4464285714285714,0.03219558862202264,392,248,113,31
"I've got the provisions for your retreat, emperor.",1.4463840399002494,0.03208246629784274,401,255,113,33
"Even Napolean had to listen to his mother, now let's go.",1.4462616822429906,0.03153683718942644,428,275,115,38
"No, you can’t invade Russia today. I have Pilates.",1.4452214452214451,0.031480430321183556,429,276,115,38
And I’m Joan of Arc. Come on—we’re late.,1.4450704225352113,0.035196463825259344,355,231,90,34
Rally the troops after your sister’s swim lesson.,1.445054945054945,0.03456913971737865,364,236,94,34
"Either way, this doesn’t end well for you.",1.4447236180904524,0.0335907188036313,398,261,97,40
"Emperor or not, your bedtime is still 8 o'clock.",1.4433497536945812,0.033104215708894234,406,266,100,40
"Lest you forget, Napoleon's penis is in a jar in New Jersey.",1.4429347826086956,0.036990990271061,368,252,69,47
We can do this the easy way or the Waterloo way.,1.4414893617021276,0.03438546265867883,376,247,92,37
"Don, Jr,  go find your brother Eric",1.440251572327044,0.03810439766045836,318,212,72,34
Keep that up and you're going to wish the British were coming,1.4401913875598087,0.03240224145097036,418,274,104,40
You need to conquer your homework first.,1.4390934844192635,0.03415357800071444,353,227,97,29
