caption,mean,precision,votes,not_funny,somewhat_funny,funny
Do you think death rays would be considered electronics or sporting goods?,1.6318544366899301,0.012005130797678766,4012,2170,1149,693
"Oh sure, now you look at a map.",1.6317567567567568,0.01829533371640449,1776,975,480,321
I've never heard of planet fitness.,1.627154046997389,0.017895320250607864,1915,1077,475,363
"Wait, was it ""conquer the mall"" or ""conquer them all""?",1.6250816459830177,0.02010458416741151,1531,868,369,294
"To Bed, Bath, and Beyond!",1.6205852674066599,0.013960380689224413,2973,1639,823,511
"What do they mean ""Space for Rent""?",1.6171979641039378,0.012804008244842948,3733,2130,902,701
"You idiot!  I said Area 51, not Forever 21!",1.603071948261924,0.02170225345325249,1237,703,322,212
They deny our existence but know where we are?,1.6015246015246016,0.019752825571215757,1443,808,402,233
We’re good; they’re all looking at their phones.,1.5986020968547179,0.016870301623415643,2003,1134,539,330
"Dairy Queen, that must be their leader",1.5858771607208533,0.014340003940306352,2719,1556,733,430
"It's just a long way to come for khakis, is all I'm saying.",1.5820754716981131,0.022451913880648187,1060,597,309,154
What happened to Radio Shack? Now we'll never get home.,1.5808767951625093,0.014940306168169923,2646,1568,619,459
I assume their leader is this “Burger King.”,1.580188679245283,0.015176358350584734,2332,1321,669,342
We were so careful.  How did they find out?,1.5797101449275361,0.02545633870781519,828,469,238,121
The currency exchange store has to be the one called Starbucks.,1.578577699736611,0.015839913214776062,2278,1333,572,373
We knew they were litigious- but a food court?,1.5756774619960343,0.019157417232020142,1513,877,401,235
"If they know where we are, then they’re more advanced than we thought.",1.5725537715843683,0.013045487143452293,3301,1934,844,523
We found earth. We’ll find Target.,1.5720356991075224,0.015184570533519378,2353,1357,646,350
How do they know we're here?,1.5700560448358687,0.02064119321627492,1249,716,354,179
This is the only place in the galaxy where they have those pretzels I like.,1.5692158760890609,0.021985710779443397,1033,576,326,131
Cancel the invasion -- they know we are here.,1.5691184141888368,0.016318528804631447,1917,1080,583,254
I thought this was a strip mall!,1.5677321156773212,0.017192507967834572,1971,1184,455,332
Next time we put our clothes in the carry-ons.,1.5646371976647206,0.021897263634818753,1199,719,283,197
"You guided us for thousands of light-years without getting lost, but you can’t remember which entrance we used?",1.564410480349345,0.01720031400786372,1832,1069,492,271
"Oh, great.  All those lightyears traveling here and now Sears is out of business.",1.563891178895301,0.021320800735667337,1213,714,314,185
Let's start with a store that sell pants.,1.562317632346811,0.014872289690049929,2399,1391,667,341
Their ability to track us has advanced significantly.,1.5575522098105876,0.015680807594488606,2059,1178,614,267
If I could read a map we wouldn't be here.,1.5537459283387622,0.016264099270608928,2149,1304,500,345
"So, this is where earthlings go before they shop online.",1.5524017467248907,0.0164949640628832,2290,1455,405,430
Always the map! Why won't you ask someone?,1.5501706484641637,0.018979180196105037,1465,864,396,205
Admit it—you forgot what level we landed on.,1.5500919117647058,0.015359534840534374,2176,1268,619,289
"These earthlings are smarter than we thought, they know exactly where we are!",1.5493039443155452,0.01781560718004141,1724,1035,431,258
Their king of burgers and queen of dairy appear to live in something called the 'Food Court.',1.548780487804878,0.025858175790277178,820,493,204,123
"We can still get home. I saw a sign ""space available""",1.546448087431694,0.016245538287331822,2013,1198,530,285
"Well, I like the sound of Starbucks.",1.5425434583714548,0.021491239323012386,1093,640,313,140
"These humans are very clever, they already know where we are",1.5331288343558283,0.01786773801290964,1630,982,427,221
