caption,mean,precision,votes,not_funny,somewhat_funny,funny
Upset? I’m beside myself!,1.699070160608622,0.023080160938453838,1183,604,331,248
Maybe warming up first wasn't such a good idea.,1.68125,0.024496637866673502,960,478,310,172
"My whole life flashed before my eyes. Monday, Tuesday, all of it.",1.6730386300278774,0.015856041483307996,2511,1337,658,516
Oh my God! My butt is huge.,1.66606225445754,0.014311546073107143,3309,1858,698,753
Give me a moment to collect myself.,1.659678858162355,0.015705639314710137,2242,1131,743,368
"That wasn't what I meant by ""knock it off"".",1.656084656084656,0.02273113001539868,1134,594,336,204
Please tell me the dog isn't out.,1.651073197578426,0.018081361927097153,1817,967,517,333
I’m technically still standing,1.6478484011054086,0.014763373946629712,2533,1302,821,410
I shouldn’t have warmed up.,1.6436825885978428,0.014998351676606422,2596,1385,751,460
Just give me a moment to collect myself.,1.6399132321041214,0.013804122678301247,2766,1406,950,410
"I saw that left hook coming at me, but I just froze.",1.6335841956726247,0.016254043232541864,2126,1129,647,350
Don't feel bad. In a few weeks it'll be like this never happened.,1.6333078686019862,0.014697402521608281,2618,1396,786,436
"OK you win, but in a few weeks this'll all be water under the bridge",1.6228179551122195,0.019250102191092026,1604,893,423,288
Something feels off,1.614975845410628,0.01638736523465873,2070,1127,613,330
"You’re fine, put some ice on it.",1.6129827444535743,0.021384090518223414,1217,665,358,194
Let’s hope the kid comes back outside before the dog.,1.6118181818181818,0.02295929214003518,1100,615,297,188
That’s not what I meant when I told you to knock it off,1.6091954022988506,0.018398362878773125,1740,985,450,305
It's March. We're both going to lose.,1.6091731266149871,0.018600673006780914,1548,835,483,230
"Well, technically, I was out cold before the punch.",1.6066089693154997,0.01488231066660872,2542,1412,718,412
I just need a second to get my head back in the game.,1.6059749697214372,0.014866217244709217,2477,1358,737,382
Part of me thinks this was a bad idea.,1.5956500247157686,0.016031079842004244,2023,1097,644,282
I should have quit while I was a head.,1.5942168674698796,0.016853143392118658,2075,1203,511,361
"Time out, I sneezed.",1.591337099811676,0.01855315893577136,1593,895,454,244
"Christmas is great. Boxing Day, not so much.",1.5802371541501976,0.020623837622384327,1265,717,362,186
"If we took this inside, I’d mop the floor with you.",1.580158159597412,0.019626934536023332,1391,787,401,203
He's got a dark sense of humor for a six-year-old.,1.5743329097839898,0.019158793766418537,1574,932,380,262
You’re still not getting the hat back.,1.5729166666666667,0.016923166055069876,1824,1032,539,253
Enjoy your short-lived victory. Weather forecast is a high of 45 tomorrow.,1.5643979057591624,0.022391448903125166,955,527,317,111
Why didn't you tell me my butt looked this big from behind.,1.564198687910028,0.022235323918037016,1067,615,302,150
Usually you just talk my head off.,1.5608766233766234,0.020915322469425207,1232,721,331,180
"You know the rules, nothing above the scarf",1.5563139931740615,0.01856993155387591,1465,839,437,189
The kids just don’t make us like they used to.,1.5473321858864026,0.020696930653705134,1162,671,346,145
Next time maybe cooler heads will prevail,1.5472249269717624,0.022352372116360156,1027,601,290,136
"Okay,Okay ! Keep the scarf.",1.5434654050857481,0.017221416251964144,1691,986,491,214
I wasn't built for this.,1.5360333531864205,0.017200842017828313,1679,987,484,208
"Alright, we’ll call it a …thaw.”",1.5349075975359343,0.022606182443130785,974,574,279,121
I’m still a head.,1.5307760927743086,0.021141824202209055,1121,667,313,141
I don't know if my medical insurance covers freezer burn.,1.5281124497991967,0.02124040011400622,1494,1022,155,317
I can't feel my balls.,1.526861451460886,0.023029734865792396,1061,668,227,166
And how exactly would headgear have prevented this?,1.5212121212121212,0.02225766216595431,990,593,278,119
I feel oddly liberated.,1.518167456556082,0.02209856488708328,1266,843,190,233
Looks like I’m ahead now!,1.5126582278481013,0.02110423209569671,1106,673,299,134
'Just put ice on it' is your answer to everything.,1.5122362869198311,0.020438107203952876,1185,723,317,145
That was cold.,1.5069767441860464,0.021600618045382235,1075,665,275,135
I was already out cold.,1.5053859964093357,0.022152797684347116,1114,716,233,165
"Technically, I’m still standing!",1.501457725947522,0.02124064638891831,1029,623,296,110
I am still not giving you my hat.,1.5,0.024463286253588283,782,476,221,85
"Thanks, now I'm just an abdominal snowman...",1.497420020639835,0.024526395910934935,969,648,160,161
Knocked me out cold.,1.4951338199513382,0.024451404307217154,822,514,209,99
I guess I’m done for the season.,1.4932221063607924,0.021677138673165966,959,582,281,96
Rush me to the ICY U!,1.4917853231106244,0.024607280083907727,913,602,173,138
Spring will be the great equalizer.,1.490730643402399,0.021579979973288255,917,548,288,81
Guess I'll be moving down a weight class.,1.4900351699882766,0.023611403784069618,853,531,226,96
That big puffy cloud is shaped like your Mama.,1.4895104895104896,0.024249991862018972,858,547,202,109
"Et tu, Frosty?",1.4866504854368932,0.024342779651872672,824,521,205,98
"Dude,that was cold.",1.4809160305343512,0.024692850397651348,786,498,198,90
"Of course, I didn't see it coming, I have ""two eyes made of coal"", for god's sakes!",1.4772727272727273,0.02657510227178333,748,495,149,104
"All I said was, “That looks like the scarf I loaned you last winter.”",1.4759427828348504,0.024887484583390768,769,490,192,87
And I thought the legs were the first to go.,1.4759358288770053,0.024249387241894006,748,463,214,71
I never thought I’d shed a tier.,1.4758800521512385,0.025206881952998864,767,493,183,91
I thought we agreed—no hitting above the snowbelt.,1.473753280839895,0.027356628619355873,762,523,117,122
You better put some ice on it.,1.473314606741573,0.026048584845179808,712,458,171,83
