caption,mean,precision,votes,not_funny,somewhat_funny,funny
We're hoping to see more of him as the season goes on!,1.9094188376753507,0.015554677592221438,2495,876,968,650
It was even weirder when he was on the swim team.,1.8740072202166065,0.015576689105375395,2770,1127,865,778
He’s the kind of talent you rarely see.,1.866024869634978,0.015555385598195736,2493,941,945,607
"When we signed the contract with his agent, I thought he said, ""invincible.""",1.8419800095192764,0.01743727885467295,2101,863,707,531
You’re right.  Without that uniform he’s nothing.,1.8312780269058295,0.01859797340276999,1784,726,633,425
Wait until you see the arm on this kid.,1.8295912492803685,0.01867420210581578,1737,699,635,403
How did they find this guy?,1.8285501304509877,0.015248443582007047,2683,1106,931,646
He's nothing without the uniform.,1.818596691386195,0.01877234722281332,1753,729,613,411
He's got no skin in the game.,1.809333865177503,0.01578229891989458,2507,1067,851,589
"On the plus side, he's very hard for pitchers to read.",1.8070866141732282,0.018010114463010735,1778,717,687,374
"He says his folks come to every game, but I haven’t seen ‘em yet.",1.7983125753314584,0.015660510881405534,2489,1061,869,559
"We DID draft him sight unseen""",1.7924757281553398,0.015431290097891385,2472,1037,911,524
"He's our best player, but he'll never be the face of the franchise.",1.7871462264150944,0.018782587382079764,1696,726,605,365
Players like him are a vanishing breed',1.7858931552587647,0.015614857294507145,2396,1011,887,495
He doesn't have any skin in the game.,1.7746390458254866,0.019436808770686632,1593,699,554,340
I don’t know what the scouts saw in this kid.,1.7708168120539254,0.02129876137085018,1261,538,474,249
No one will know who’s on first.,1.7651948051948052,0.017635324919906045,1925,855,667,403
He tends to fade at the end of the season.,1.7632743362831858,0.03582776959213732,452,197,165,90
I still think it’s a bigger deal that she’s the first woman.,1.7617250673854448,0.01849706495539332,1855,862,573,420
Our scouts did a great job finding this guy,1.75814332247557,0.02135552133070322,1228,528,469,231
Team owner values transparency above all else.,1.7554479418886197,0.018714094532526402,1652,729,598,325
They say he's got potential but I just don't see it.,1.748768472906404,0.018308400291072998,1624,697,638,289
He's working remotely.,1.7484756097560976,0.0215797877172876,1312,607,428,277
"He was a no-show at spring training, too.",1.7452330508474576,0.017479085740924653,1888,846,677,365
It can get awkward in the showers but he's a great hitter.,1.7281722933643773,0.018171690795732675,1718,784,617,317
